HSN Code,Description
1011010,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES"
1011020,"LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES"
1011090,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER"
1019010,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO"
1019020,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK"
1019090,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - OTHER"
1021010,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT
1021020,"LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT"
1021030,"LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES"
1021090,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER
1029010,LIVE BOVINE ANIMALS - OTHER - BULLS - ADULT
1029020,"LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES"
1029090,LIVE BOVINE ANIMALS - OTHER - OTHER
1031000,LIVE SWINE PURE-BRED BREEDING ANIMALS
1039100,LIVE SWINE - OTHER - WEIGHING LESS THAN 50 KG.
1039200,LIVE SWINE- OTHER WEIGHING 50KG. OR MORE
1041010,LIVE SHEEP AND GOATS - SHEEP : SHEEP INCLUDING LAMB FOR BREEDING PURPOSE
1041090,LIVE SHEEP A ND GOATS SHEEP OTHER
1042000,LIVE SHEEP AND GOATS GOATS
1051100,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : FOWLSOFTHESPECIESGALLUSDOMESTICUS"
1051200,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : TURKEYS"
1051900,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : OTHER"
1059200,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS WEIGHING NOT MORE THAN 2000G"
1059300,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUSDOMESTICUS WEIGHING MORE THAN 2000G,"
1059400,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS"
1059900,"SPECIES GALLUSDOMESTICUS, DUCKS, GEESE,TURKEYS AND GUINEA FOWLS - OTHER - OTHER"
1061100,OTHER LIVE ANIMALS MAMMALS : PRIMATES
