"site_id";"contact_number";"contact_person";"gst_number";"pin_code";"registration_status";"site_address";"site_name";"site_pan";"company_id";"state_name"
1;"+919449685773";"Uday Narayan";"29AAACS6994C1Z1";"560017";"REGISTERED";"124, 7 Floor, Surya Chambers, Murugesh Palya, Off Apt Road, Bangalore";"Registered Office";"AAACS6994C";1;"KARNATAKA"
2;"+91 70225 35053";"Manjunath";"29AAACS6994C1Z1";"560087";"REGISTERED";"C/o Salarpuria Properties Limited, Sy No.: 22/1A, 22/2, 25, 29, 33/1, 33/2, Kadabeesanahalli Village, Varthur Hobli, Bangalore";"Oracle India Private Limited";"AAACS6994C";1;"KARNATAKA"
3;"+91 99000 49065";"V Hegde";"29AAACS6994C1Z1";"560067";"REGISTERED";"C/o Assetz Marq, Kannamangala, Whitefield, Hoskote Road, Bangalore";"Assetz Whitefield Homes";"AAACS6994C";1;"KARNATAKA"
4;"+91 90002 27151";"Ramachandran";"37AAACS6994C1Z4";"518004";"REGISTERED";"Jaganadh Gattu, TV9, Kurnool Outerring Road";"APTIDCO - EWS Housing - Kurnool";"AAACS6994C";1;"ANDHRA PRADESH (NEW)"
1;"";"Manoj Agarwal";"29AAACB0205F1ZC";"560037";"REGISTERED";"II Floor, Soul Space Paradigm, Near Innovative Multiplex, Bangalore";"Registered Office";"AAACB0205F";2;"KARNATAKA"
2;"+91 93423 40466";"Pramod Singh";"29AAACB0205F1ZC";"560103";"REGISTERED";"Embassy Tech Village, Near New Horizon College, Deverabasanahalli, Bangalore";"Flipkart Campus";"AAACB0205F";2;"KARNATAKA"
3;"+91 87625 43230";"Ritesh";"29AAACB0205F1ZC";"560045";"REGISTERED";"Manyata Front - A, Parcel Non SEZ, Nagavara Village, Behind Petrol Pump, Bangalore";"Manyata";"AAACB0205F";2;"KARNATAKA"
4;"+91 86181 10490";"Ashok Kumar";"29AAACB0205F1ZC";"560048";"REGISTERED";"Opposite Sai Baba Hospital, Near HPS Campus, Whitefield, Bangalore";"Sattva Data Centre";"AAACB0205F";2;"KARNATAKA"
5;"+91 93792 59139";"";"29AAACB0205F1ZC";"560066";"REGISTERED";"Opposite Indian Oil Petrol Bunk, Near National Games Village, Ejipura, Bangalore";"Embassy Garuda Grand Central";"AAACB0205F";2;"KARNATAKA"
1;"";"Ravi Kumar";"29AADCH4357B1ZQ";"560040";"REGISTERED";"No. 1312, 11th Main, Vijayanagar, Bangalore";"Registered Office";"AADCH4357B";3;"KARNATAKA"
2;"+91 83091 49813";"Mahesh";"29AADCH4357B1ZQ";"572223";"REGISTERED";"Hannavar Road, Nittur, Gubbi Taluk, Tumakur";"HAL Gubbi Phase-1";"AADCH4357B";3;"KARNATAKA"
1;"+919901450970";"D Ramesh";"29AAACN4052E1ZP";"560052";"REGISTERED";"No.: 31, 5th Floor, Ranka Chambers,Cunningham Road, Bangalore";"Registered Office";"AAACN4052E";4;"KARNATAKA"
2;"+91 70267 80585";"Deepak";"29AAACN4052E1ZP";"560052";"REGISTERED";"Site No. 16, Ali Askar Road, Bangalore";"Nitesh Plaza";"AAACN4052E";4;"KARNATAKA"
3;"+91 97429 29207";"";"29AAACN4052E1ZP";"560 100";"REGISTERED";"Sy No. 26/1, 26/2 of Beratena Agraha Village, Begur Hobli, Bangalore South Taluk";"Skylark Royaume";"AAACN4052E";4;"KARNATAKA"
4;"+91 88926 64077";"";"29AAACN4052E1ZP";"560004";"REGISTERED";"No. 69, Lalbagh Fort RRoad, Lalbagh, Near Ashok Hotel, Urvashi Theatre, Bangalore";"Mantri Blossoms";"AAACN4052E";4;"KARNATAKA"
5;"+91 70198 07549";"";"29AAACN4052E1ZP";"563130";"REGISTERED";"Survey No. 55/2A, Jayamangala Village, Lakkur Hobli, Malur Taluk, Kolar District";"Green Readymade Steel Products India Private Limited";"AAACN4052E";4;"KARNATAKA"
